epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,193.691,2.06356,0.34848,0.80303,1.77511,0.0002695,0.0002695,0.0002695
2,399.955,1.59151,0.5,0.93939,1.32487,0.00052911,0.00052911,0.00052911
3,597.472,1.11901,0.63636,0.98485,0.84013,0.000770394,0.000770394,0.000770394
4,774.086,0.8676,0.56061,0.9697,1.08331,0.000750533,0.000750533,0.000750533
5,949.536,0.80156,0.71212,0.93939,0.70151,0.000723044,0.000723044,0.000723044
6,1125.96,0.75,0.71212,0.9697,0.68413,0.000695555,0.000695555,0.000695555
7,1301.66,0.6578,0.72727,0.9697,0.67606,0.000668066,0.000668066,0.000668066
8,1477.67,0.6517,0.69697,0.98485,0.97079,0.000640577,0.000640577,0.000640577
9,1653.8,0.62353,0.75758,0.98485,0.58923,0.000613088,0.000613088,0.000613088
10,1838.7,0.59177,0.66667,0.98485,0.8538,0.000585599,0.000585599,0.000585599
11,2015.03,0.51828,0.77273,0.98485,0.59378,0.00055811,0.00055811,0.00055811
12,2190.92,0.52703,0.72727,0.98485,0.61049,0.000530621,0.000530621,0.000530621
13,2366.67,0.51511,0.80303,0.9697,0.56568,0.000503132,0.000503132,0.000503132
14,2542.67,0.51352,0.77273,0.98485,0.4661,0.000475643,0.000475643,0.000475643
15,2718.98,0.51651,0.75758,0.98485,0.74403,0.000448154,0.000448154,0.000448154
16,2894.49,0.5097,0.75758,1,0.99604,0.000420665,0.000420665,0.000420665
17,3070.7,0.43272,0.74242,1,0.53304,0.000393176,0.000393176,0.000393176
18,3246.63,0.40281,0.77273,1,0.70353,0.000365687,0.000365687,0.000365687
19,3422.87,0.41059,0.77273,1,1.28987,0.000338198,0.000338198,0.000338198
20,3599.67,0.40777,0.81818,1,1.10932,0.000310709,0.000310709,0.000310709
21,3777.21,0.38758,0.80303,0.9697,0.51627,0.00028322,0.00028322,0.00028322
22,3953.1,0.41319,0.81818,0.9697,0.52165,0.000255731,0.000255731,0.000255731
23,4129.14,0.38973,0.78788,0.9697,0.5348,0.000228242,0.000228242,0.000228242
24,4305.41,0.35076,0.75758,0.98485,0.82496,0.000200753,0.000200753,0.000200753
25,4481.25,0.36964,0.78788,0.98485,0.98562,0.000173264,0.000173264,0.000173264
26,4657.5,0.33891,0.75758,0.98485,0.5303,0.000145775,0.000145775,0.000145775
27,4833.42,0.33365,0.80303,0.98485,0.53989,0.000118286,0.000118286,0.000118286
28,5009.6,0.35677,0.83333,0.98485,2.10502,9.0797e-05,9.0797e-05,9.0797e-05
29,5186.81,0.32503,0.80303,0.98485,0.51987,6.3308e-05,6.3308e-05,6.3308e-05
30,5362.57,0.33301,0.81818,0.98485,0.4868,3.5819e-05,3.5819e-05,3.5819e-05
